"year","subgroup","grade","subject","enrollment_status","n_eligible","n_test_takers","proficient_or_advanced","below_basic","basic","proficient","advanced"
2014,"BL7","grade 8","math","full_year",3272,3110,1913,306,891,1442,471
2014,"BL7","grade 8","read","full_year",3272,3110,1551,324,1235,1340,211
2014,"BL7","grade 10","math","full_year",3408,3192,1509,549,1134,1313,196
2014,"BL7","grade 10","read","full_year",3408,3195,1468,525,1202,1157,311
2014,"HI7","all","math","full_year",4470,4326,2527,465,1334,1892,635
2014,"HI7","all","read","full_year",4470,4317,2162,567,1588,1845,317
2014,"HI7","grade 7","math","full_year",599,569,362,57,150,276,86
2014,"HI7","grade 7","read","full_year",599,566,344,38,184,254,90
2014,"HI7","grade 8","math","full_year",613,578,389,41,148,295,94
2014,"HI7","grade 8","read","full_year",613,577,307,54,216,257,50
2014,"HI7","grade 10","math","full_year",512,492,254,62,176,220,34
2014,"HI7","grade 10","read","full_year",512,495,242,74,179,189,53
2014,"HI7","grade 4","math","full_year",688,679,407,90,182,291,116
2014,"HI7","grade 4","read","full_year",688,679,332,110,237,299,33
2014,"HI7","grade 3","math","full_year",800,792,396,89,307,298,98
2014,"HI7","grade 3","read","full_year",800,792,321,162,309,293,28
2014,"HI7","grade 6","math","full_year",601,571,348,54,169,238,110
2014,"HI7","grade 6","read","full_year",601,569,276,69,224,245,31
2014,"HI7","grade 5","math","full_year",657,645,371,72,202,274,97
2014,"HI7","grade 5","read","full_year",657,639,340,60,239,308,32
2014,"MU7","all","math","full_year",498,491,422,18,51,188,234
2014,"MU7","all","read","full_year",498,491,408,17,66,265,143
2014,"MU7","grade 6","math","full_year",63,63,49,5,9,15,34
2014,"MU7","grade 6","read","full_year",63,63,47,3,13,35,12
2014,"MU7","grade 5","math","full_year",84,83,74,1,8,39,35
2014,"MU7","grade 5","read","full_year",84,83,77,1,5,62,15
2014,"MU7","grade 8","math","full_year",60,60,52,2,6,21,31
2014,"MU7","grade 8","read","full_year",60,60,48,2,10,28,20
2014,"MU7","grade 10","math","full_year",54,50,45,2,3,30,15
2014,"MU7","grade 10","read","full_year",54,50,40,3,7,15,25
2014,"MU7","grade 7","math","full_year",53,52,49,0,3,23,26
2014,"MU7","grade 7","read","full_year",53,52,49,0,3,18,31
2014,"MU7","grade 4","math","full_year",92,92,82,2,8,28,54
2014,"MU7","grade 4","read","full_year",92,92,77,4,11,53,24
2014,"MU7","grade 3","math","full_year",92,91,71,6,14,32,39
2014,"MU7","grade 3","read","full_year",92,91,70,4,17,54,16
2014,"PI7","all","math","full_year",30,30,19,2,9,9,10
2014,"PI7","all","read","full_year",30,30,17,0,13,12,5
2014,"WH7","all","math","full_year",2649,2611,2439,24,148,914,1525
2014,"WH7","all","read","full_year",2649,2607,2432,19,156,1418,1014
2014,"WH7","grade 3","math","full_year",602,593,535,8,50,266,269
2014,"WH7","grade 3","read","full_year",602,593,532,11,50,376,156
2014,"WH7","grade 7","math","full_year",297,297,283,0,14,85,198
2014,"WH7","grade 7","read","full_year",297,297,288,0,9,77,211
2014,"WH7","grade 8","math","full_year",263,260,249,1,10,65,184
2014,"WH7","grade 8","read","full_year",263,259,244,0,15,100,144
2014,"WH7","grade 5","math","full_year",432,429,395,2,32,176,219
2014,"WH7","grade 5","read","full_year",432,429,414,1,14,297,117
2014,"WH7","grade 4","math","full_year",482,478,459,5,14,150,309
2014,"WH7","grade 4","read","full_year",482,476,451,0,25,273,178
2014,"WH7","grade 6","math","full_year",363,363,342,3,18,89,253
2014,"WH7","grade 6","read","full_year",363,362,330,1,31,248,82
2014,"WH7","grade 10","math","full_year",210,191,176,5,10,83,93
2014,"WH7","grade 10","read","full_year",210,191,173,6,12,47,126
2014,"SPED","all","math","full_year",5657,5537,1408,1908,2221,1036,372
2014,"SPED","all","read","full_year",5657,5508,1117,2110,2281,856,261
2014,"SPED","grade 7","math","full_year",856,834,192,294,348,145,47
2014,"SPED","grade 7","read","full_year",856,831,195,210,426,152,43
2014,"SPED","grade 6","math","full_year",833,813,173,343,297,116,57
2014,"SPED","grade 6","read","full_year",833,813,147,342,324,107,40
2014,"SPED","grade 4","math","full_year",815,815,244,306,265,181,63
2014,"SPED","grade 4","read","full_year",815,813,157,354,302,115,42
2014,"SPED","grade 8","math","full_year",830,804,269,192,343,213,56
2014,"SPED","grade 8","read","full_year",830,800,168,243,389,129,39
2014,"SPED","grade 3","math","full_year",765,758,194,259,305,126,68
2014,"SPED","grade 3","read","full_year",765,745,153,380,212,118,35
2014,"SPED","grade 5","math","full_year",811,810,207,276,327,140,67
2014,"SPED","grade 5","read","full_year",811,800,190,252,358,146,44
2014,"SPED","grade 10","math","full_year",747,703,129,238,336,115,14
2014,"SPED","grade 10","read","full_year",747,706,107,329,270,89,18
2014,"LEP","all","math","full_year",3416,3251,1607,468,1176,1249,358
2014,"LEP","all","read","full_year",3416,3231,1204,591,1436,1099,105
2014,"LEP","grade 6","math","full_year",357,335,160,60,115,119,41
2014,"LEP","grade 6","read","full_year",357,332,99,77,156,89,10
2014,"LEP","grade 3","math","full_year",801,779,388,96,295,285,103
2014,"LEP","grade 3","read","full_year",801,776,307,164,305,279,28
2014,"LEP","grade 4","math","full_year",630,606,338,90,178,256,82
2014,"LEP","grade 4","read","full_year",630,605,239,110,256,223,16
2014,"LEP","grade 5","math","full_year",568,550,283,75,192,229,54
2014,"LEP","grade 5","read","full_year",568,544,223,67,254,211,12
2014,"LEP","grade 10","math","full_year",358,342,127,64,151,113,14
2014,"LEP","grade 10","read","full_year",358,342,95,79,168,89,6
2014,"LEP","grade 7","math","full_year",362,335,163,49,123,131,32
2014,"LEP","grade 7","read","full_year",362,330,148,39,143,124,24
2014,"LEP","grade 8","math","full_year",340,304,148,34,122,116,32
2014,"LEP","grade 8","read","full_year",340,302,93,55,154,84,9
2014,"Economy","all","math","full_year",24993,24440,11622,4156,8662,9061,2561
2014,"Economy","all","read","full_year",24993,24378,10241,3923,10214,9100,1141
2014,"Economy","grade 3","math","full_year",4167,4144,1586,765,1793,1255,331
2014,"Economy","grade 3","read","full_year",4167,4131,1415,1059,1657,1333,82
2014,"Economy","grade 4","math","full_year",3688,3664,1890,701,1073,1420,470
2014,"Economy","grade 4","read","full_year",3688,3664,1517,631,1516,1392,125
2014,"Economy","grade 7","math","full_year",3520,3411,1774,512,1125,1421,353
2014,"Economy","grade 7","read","full_year",3520,3403,1664,283,1456,1337,327
2014,"Economy","grade 8","math","full_year",3373,3267,1953,335,979,1502,451
2014,"Economy","grade 8","read","full_year",3373,3266,1526,367,1373,1334,192
2014,"Economy","grade 10","math","full_year",3339,3126,1381,572,1173,1228,153
2014,"Economy","grade 10","read","full_year",3339,3132,1304,575,1253,1082,222
2014,"Economy","grade 6","math","full_year",3394,3335,1464,651,1220,1054,410
2014,"Economy","grade 6","read","full_year",3394,3333,1240,616,1477,1147,93
2014,"Economy","grade 5","math","full_year",3512,3493,1574,620,1299,1181,393
2014,"Economy","grade 5","read","full_year",3512,3449,1575,392,1482,1475,100
2014,"Direct Cert","all","math","full_year",14763,14428,6165,2840,5423,4980,1185
2014,"Direct Cert","all","read","full_year",14763,14379,5349,2645,6385,4821,528
2014,"Direct Cert","grade 7","math","full_year",2141,2064,973,360,731,811,162
2014,"Direct Cert","grade 7","read","full_year",2141,2059,917,197,945,763,154
2014,"Direct Cert","grade 4","math","full_year",2213,2201,1010,491,700,786,224
2014,"Direct Cert","grade 4","read","full_year",2213,2199,789,450,960,723,66
2014,"Direct Cert","grade 8","math","full_year",1958,1884,1029,229,626,834,195
2014,"Direct Cert","grade 8","read","full_year",1958,1882,763,247,872,677,86
2014,"Direct Cert","grade 3","math","full_year",2500,2493,808,544,1141,657,151
2014,"Direct Cert","grade 3","read","full_year",2500,2481,706,740,1035,677,29
2014,"Direct Cert","grade 10","math","full_year",1867,1753,753,335,665,674,79
2014,"Direct Cert","grade 10","read","full_year",1867,1756,697,342,717,584,113
2014,"Direct Cert","grade 6","math","full_year",2031,1989,765,459,765,588,177
2014,"Direct Cert","grade 6","read","full_year",2031,1990,645,418,927,610,35
2014,"Direct Cert","grade 5","math","full_year",2053,2044,827,422,795,630,197
2014,"Direct Cert","grade 5","read","full_year",2053,2012,832,251,929,787,45
2010,"All","all","math","full_year",31555,30340,13888,5655,10797,10774,3114
2010,"All","all","read","full_year",31555,30375,13799,4717,11859,11210,2589
2010,"All","grade 3","math","full_year",4843,4776,1793,1104,1879,1396,397
2010,"All","grade 3","read","full_year",4843,4773,1977,1089,1707,1674,303
2010,"All","grade 5","math","full_year",4421,4346,1976,706,1664,1490,486
2010,"All","grade 5","read","full_year",4421,4346,2006,651,1689,1704,302
2010,"All","grade 4","math","full_year",4766,4708,2156,889,1663,1660,496
2010,"All","grade 4","read","full_year",4766,4709,2149,852,1708,1832,317
2010,"All","grade 6","math","full_year",4455,4384,1944,781,1659,1387,557
2010,"All","grade 6","read","full_year",4455,4385,1855,664,1866,1617,238
2010,"All","grade 7","math","full_year",4317,4226,2252,751,1223,1770,482
2010,"All","grade 7","read","full_year",4317,4235,2089,460,1686,1532,557
2010,"All","grade 8","math","full_year",4475,4353,2223,758,1372,1796,427
2010,"All","grade 8","read","full_year",4475,4369,2152,559,1658,1608,544
2010,"All","grade 10","math","full_year",4278,3547,1544,666,1337,1275,269
2010,"All","grade 10","read","full_year",4278,3558,1571,442,1545,1243,328
2010,"MALE","all","math","full_year",15760,15076,6668,3148,5260,5105,1563
2010,"MALE","all","read","full_year",15760,15102,6168,3003,5931,5069,1099
2010,"MALE","grade 3","math","full_year",2436,2395,856,605,934,662,194
2010,"MALE","grade 3","read","full_year",2436,2393,845,684,864,725,120
2010,"MALE","grade 5","math","full_year",2263,2212,979,410,823,733,246
2010,"MALE","grade 5","read","full_year",2263,2211,911,423,877,783,128
2010,"MALE","grade 4","math","full_year",2404,2375,1079,473,823,836,243
2010,"MALE","grade 4","read","full_year",2404,2376,991,525,860,858,133
2010,"MALE","grade 7","math","full_year",2157,2105,1068,445,592,817,251
2010,"MALE","grade 7","read","full_year",2157,2111,914,306,891,680,234
2010,"MALE","grade 6","math","full_year",2250,2210,920,452,838,642,278
2010,"MALE","grade 6","read","full_year",2250,2212,848,437,927,735,113
2010,"MALE","grade 8","math","full_year",2223,2153,1066,418,669,853,213
2010,"MALE","grade 8","read","full_year",2223,2164,985,366,813,758,227
2010,"MALE","grade 10","math","full_year",2027,1626,700,345,581,562,138
2010,"MALE","grade 10","read","full_year",2027,1635,674,262,699,530,144
2010,"FEMALE","all","math","full_year",15795,15264,7220,2507,5537,5669,1551
2010,"FEMALE","all","read","full_year",15795,15273,7631,1714,5928,6141,1490
2010,"FEMALE","grade 3","math","full_year",2407,2381,937,499,945,734,203
2010,"FEMALE","grade 3","read","full_year",2407,2380,1132,405,843,949,183
2010,"FEMALE","grade 4","math","full_year",2362,2333,1077,416,840,824,253
2010,"FEMALE","grade 4","read","full_year",2362,2333,1158,327,848,974,184
2010,"FEMALE","grade 6","math","full_year",2205,2174,1024,329,821,745,279
2010,"FEMALE","grade 6","read","full_year",2205,2173,1007,227,939,882,125
2010,"FEMALE","grade 7","math","full_year",2160,2121,1184,306,631,953,231
2010,"FEMALE","grade 7","read","full_year",2160,2124,1175,154,795,852,323
2010,"FEMALE","grade 8","math","full_year",2252,2200,1157,340,703,943,214
2010,"FEMALE","grade 8","read","full_year",2252,2205,1167,193,845,850,317
2010,"FEMALE","grade 10","math","full_year",2251,1921,844,321,756,713,131
2010,"FEMALE","grade 10","read","full_year",2251,1923,897,180,846,713,184
2010,"FEMALE","grade 5","math","full_year",2158,2134,997,296,841,757,240
2010,"FEMALE","grade 5","read","full_year",2158,2135,1095,228,812,921,174
2010,"AS7","all","math","full_year",462,438,361,15,62,201,160
2010,"AS7","all","read","full_year",462,437,336,15,86,226,110
2010,"AS7","grade 10","math","full_year",54,49,38,2,9,25,13
2010,"AS7","grade 10","read","full_year",54,49,34,2,13,24,10
2010,"AS7","grade 3","math","full_year",89,87,66,1,20,45,21
2010,"AS7","grade 3","read","full_year",89,87,65,3,19,51,14
2010,"AS7","grade 4","math","full_year",81,76,62,4,10,32,30
2010,"AS7","grade 4","read","full_year",81,76,58,5,13,41,17
2010,"AS7","grade 5","math","full_year",63,61,55,0,6,31,24
2010,"AS7","grade 5","read","full_year",63,60,52,0,8,36,16
2010,"AS7","grade 6","math","full_year",57,55,42,5,8,12,30
2010,"AS7","grade 6","read","full_year",57,55,40,3,12,29,11
2010,"AS7","grade 8","math","full_year",61,57,50,1,6,27,23
2010,"AS7","grade 8","read","full_year",61,57,43,1,13,20,23
2010,"AS7","grade 7","math","full_year",57,53,48,2,3,29,19
2010,"AS7","grade 7","read","full_year",57,53,44,1,8,25,19
2010,"BL7","all","math","full_year",25890,24825,10277,5107,9441,8530,1747
2010,"BL7","all","read","full_year",25890,24865,10362,4185,10318,8905,1457
2010,"BL7","grade 3","math","full_year",3759,3701,1180,968,1553,986,194
2010,"BL7","grade 3","read","full_year",3759,3701,1351,942,1408,1210,141
2010,"BL7","grade 5","math","full_year",3548,3485,1370,657,1458,1124,246
2010,"BL7","grade 5","read","full_year",3548,3487,1439,591,1457,1301,138
2010,"BL7","grade 4","math","full_year",3758,3713,1497,795,1421,1259,238
2010,"BL7","grade 4","read","full_year",3758,3714,1521,744,1449,1382,139
2010,"BL7","grade 6","math","full_year",3686,3628,1455,699,1474,1125,330
2010,"BL7","grade 6","read","full_year",3686,3629,1396,593,1640,1288,108
2010,"BL7","grade 7","math","full_year",3651,3573,1779,681,1113,1469,310
2010,"BL7","grade 7","read","full_year",3651,3583,1652,410,1521,1281,371
2010,"BL7","grade 8","math","full_year",3797,3700,1768,696,1236,1500,268
2010,"BL7","grade 8","read","full_year",3797,3718,1728,512,1478,1387,341
2010,"BL7","grade 10","math","full_year",3691,3025,1228,611,1186,1067,161
2010,"BL7","grade 10","read","full_year",3691,3033,1275,393,1365,1056,219
2010,"HI7","all","math","full_year",3333,3235,1620,468,1147,1310,310
2010,"HI7","all","read","full_year",3333,3229,1454,465,1310,1212,242
2010,"HI7","grade 10","math","full_year",386,338,155,49,134,137,18
2010,"HI7","grade 10","read","full_year",386,340,137,44,159,114,23
2010,"HI7","grade 4","math","full_year",569,564,286,77,201,223,63
2010,"HI7","grade 4","read","full_year",569,564,255,93,216,224,31
2010,"HI7","grade 5","math","full_year",509,501,275,45,181,215,60
2010,"HI7","grade 5","read","full_year",509,500,244,55,201,205,39
2010,"HI7","grade 3","math","full_year",585,580,201,119,260,169,32
2010,"HI7","grade 3","read","full_year",585,577,207,131,239,178,29
2010,"HI7","grade 6","math","full_year",449,442,222,63,157,173,49
2010,"HI7","grade 6","read","full_year",449,441,184,56,201,169,15
2010,"HI7","grade 8","math","full_year",434,417,246,52,119,202,44
2010,"HI7","grade 8","read","full_year",434,415,220,40,155,163,57
2010,"HI7","grade 7","math","full_year",401,393,235,63,95,191,44
2010,"HI7","grade 7","read","full_year",401,392,207,46,139,159,48
2010,"WH7","all","math","full_year",1866,1838,1628,65,145,732,896
2010,"WH7","all","read","full_year",1866,1840,1645,52,143,865,780
2010,"WH7","grade 10","math","full_year",147,135,123,4,8,46,77
2010,"WH7","grade 10","read","full_year",147,136,125,3,8,49,76
2010,"WH7","grade 3","math","full_year",410,408,346,16,46,196,150
2010,"WH7","grade 3","read","full_year",410,408,354,13,41,235,119
2010,"WH7","grade 4","math","full_year",358,355,311,13,31,146,165
2010,"WH7","grade 4","read","full_year",358,355,315,10,30,185,130
2010,"WH7","grade 7","math","full_year",208,207,190,5,12,81,109
2010,"WH7","grade 7","read","full_year",208,207,186,3,18,67,119
2010,"WH7","grade 8","math","full_year",182,178,158,9,11,66,92
2010,"WH7","grade 8","read","full_year",182,178,160,6,12,37,123
2010,"WH7","grade 5","math","full_year",299,297,275,4,18,120,155
2010,"WH7","grade 5","read","full_year",299,297,270,5,22,161,109
2010,"WH7","grade 6","math","full_year",262,258,225,14,19,77,148
2010,"WH7","grade 6","read","full_year",262,259,235,12,12,131,104
2010,"SPED","all","math","full_year",5838,5406,987,2522,1897,729,258
2010,"SPED","all","read","full_year",5838,5421,867,2512,2042,622,245
2010,"SPED","grade 6","math","full_year",860,827,127,389,311,84,43
2010,"SPED","grade 6","read","full_year",860,829,116,401,312,82,34
2010,"SPED","grade 7","math","full_year",884,857,186,402,269,136,50
2010,"SPED","grade 7","read","full_year",884,860,157,301,402,105,52
2010,"SPED","grade 4","math","full_year",824,802,167,378,257,117,50
2010,"SPED","grade 4","read","full_year",824,801,129,425,247,95,34
2010,"SPED","grade 8","math","full_year",989,949,201,398,350,167,34
2010,"SPED","grade 8","read","full_year",989,957,173,389,395,131,42
2010,"SPED","grade 3","math","full_year",681,661,101,341,219,70,31
2010,"SPED","grade 3","read","full_year",681,658,87,404,167,59,28
2010,"SPED","grade 10","math","full_year",781,517,77,260,180,58,19
2010,"SPED","grade 10","read","full_year",781,522,89,206,227,66,23
2010,"SPED","grade 5","math","full_year",819,793,128,354,311,97,31
2010,"SPED","grade 5","read","full_year",819,794,116,386,292,84,32
2010,"LEP","all","math","full_year",3057,2945,1346,468,1131,1069,277
2010,"LEP","all","read","full_year",3057,2939,1172,495,1272,1021,151
2010,"LEP","grade 10","math","full_year",255,230,85,43,102,75,10
2010,"LEP","grade 10","read","full_year",255,231,57,48,126,51,6
2010,"LEP","grade 4","math","full_year",661,645,340,81,224,255,85
2010,"LEP","grade 4","read","full_year",661,646,315,109,222,273,42
2010,"LEP","grade 5","math","full_year",477,462,239,45,178,189,50
2010,"LEP","grade 5","read","full_year",477,460,205,55,200,186,19
