"year","subgroup","grade","subject","enrollment_status","n_eligible","n_test_takers","proficient_or_advanced","below_basic","basic","proficient","advanced"
2014,"BL7","grade 8","math","full_year",3239,3077,1906,297,874,1435,471
2014,"BL7","grade 8","read","full_year",3239,3077,1543,316,1218,1332,211
2014,"BL7","grade 10","math","full_year",3370,3163,1501,541,1121,1305,196
2014,"BL7","grade 10","read","full_year",3370,3165,1459,513,1193,1149,310
2014,"HI7","All","math","full_year",4462,4319,2524,465,1330,1890,634
2014,"HI7","All","read","full_year",4462,4310,2158,566,1586,1841,317
2014,"HI7","grade 7","math","full_year",598,568,361,57,150,275,86
2014,"HI7","grade 7","read","full_year",598,565,343,38,184,253,90
2014,"HI7","grade 8","math","full_year",612,577,388,41,148,294,94
2014,"HI7","grade 8","read","full_year",612,576,306,54,216,256,50
2014,"HI7","grade 10","math","full_year",511,492,254,62,176,220,34
2014,"HI7","grade 10","read","full_year",511,495,242,74,179,189,53
2014,"HI7","grade 4","math","full_year",687,678,407,90,181,291,116
2014,"HI7","grade 4","read","full_year",687,678,332,109,237,299,33
2014,"HI7","grade 3","math","full_year",799,791,396,89,306,298,98
2014,"HI7","grade 3","read","full_year",799,791,321,162,308,293,28
2014,"HI7","grade 6","math","full_year",600,570,348,54,168,238,110
2014,"HI7","grade 6","read","full_year",600,568,275,69,224,244,31
2014,"HI7","grade 5","math","full_year",655,643,370,72,201,274,96
2014,"HI7","grade 5","read","full_year",655,637,339,60,238,307,32
2014,"MU7","All","math","full_year",495,488,420,17,51,186,234
2014,"MU7","All","read","full_year",495,488,406,16,66,263,143
2014,"MU7","grade 6","math","full_year",62,62,49,4,9,15,34
2014,"MU7","grade 6","read","full_year",62,62,47,2,13,35,12
2014,"MU7","grade 5","math","full_year",84,83,74,1,8,39,35
2014,"MU7","grade 5","read","full_year",84,83,77,1,5,62,15
2014,"MU7","grade 8","math","full_year",59,59,51,2,6,20,31
2014,"MU7","grade 8","read","full_year",59,59,47,2,10,27,20
2014,"MU7","grade 10","math","full_year",54,50,45,2,3,30,15
2014,"MU7","grade 10","read","full_year",54,50,40,3,7,15,25
2014,"MU7","grade 7","math","full_year",52,51,48,0,3,22,26
2014,"MU7","grade 7","read","full_year",52,51,48,0,3,17,31
2014,"MU7","grade 4","math","full_year",92,92,82,2,8,28,54
2014,"MU7","grade 4","read","full_year",92,92,77,4,11,53,24
2014,"MU7","grade 3","math","full_year",92,91,71,6,14,32,39
2014,"MU7","grade 3","read","full_year",92,91,70,4,17,54,16
2014,"PI7","All","math","full_year",30,30,19,2,9,9,10
2014,"PI7","All","read","full_year",30,30,17,0,13,12,5
2014,"WH7","All","math","full_year",2645,2608,2436,24,148,912,1524
2014,"WH7","All","read","full_year",2645,2604,2429,19,156,1415,1014
2014,"WH7","grade 3","math","full_year",601,592,534,8,50,265,269
2014,"WH7","grade 3","read","full_year",601,592,531,11,50,375,156
2014,"WH7","grade 7","math","full_year",297,297,283,0,14,85,198
2014,"WH7","grade 7","read","full_year",297,297,288,0,9,77,211
2014,"WH7","grade 8","math","full_year",263,260,249,1,10,65,184
2014,"WH7","grade 8","read","full_year",263,259,244,0,15,100,144
2014,"WH7","grade 5","math","full_year",432,429,395,2,32,176,219
2014,"WH7","grade 5","read","full_year",432,429,414,1,14,297,117
2014,"WH7","grade 4","math","full_year",481,477,458,5,14,149,309
2014,"WH7","grade 4","read","full_year",481,475,450,0,25,272,178
2014,"WH7","grade 6","math","full_year",362,362,341,3,18,89,252
2014,"WH7","grade 6","read","full_year",362,361,329,1,31,247,82
2014,"WH7","grade 10","math","full_year",209,191,176,5,10,83,93
2014,"WH7","grade 10","read","full_year",209,191,173,6,12,47,126
2014,"SPED","All","math","full_year",5612,5495,1402,1888,2205,1031,371
2014,"SPED","All","read","full_year",5612,5465,1112,2089,2264,852,260
2014,"SPED","grade 7","math","full_year",852,830,191,293,346,144,47
2014,"SPED","grade 7","read","full_year",852,827,194,209,424,151,43
2014,"SPED","grade 6","math","full_year",820,799,171,335,293,115,56
2014,"SPED","grade 6","read","full_year",820,799,145,337,317,106,39
2014,"SPED","grade 4","math","full_year",812,812,242,306,264,179,63
2014,"SPED","grade 4","read","full_year",812,810,156,353,301,114,42
2014,"SPED","grade 8","math","full_year",826,800,269,189,342,213,56
2014,"SPED","grade 8","read","full_year",826,796,168,240,388,129,39
2014,"SPED","grade 3","math","full_year",759,752,193,257,302,125,68
2014,"SPED","grade 3","read","full_year",759,739,152,377,210,117,35
2014,"SPED","grade 5","math","full_year",806,805,207,272,326,140,67
2014,"SPED","grade 5","read","full_year",806,795,190,251,354,146,44
2014,"SPED","grade 10","math","full_year",737,697,129,236,332,115,14
2014,"SPED","grade 10","read","full_year",737,699,107,322,270,89,18
2014,"LEP","All","math","full_year",3410,3247,1606,468,1173,1249,357
2014,"LEP","All","read","full_year",3410,3227,1204,589,1434,1099,105
2014,"LEP","grade 6","math","full_year",357,335,160,60,115,119,41
2014,"LEP","grade 6","read","full_year",357,332,99,77,156,89,10
2014,"LEP","grade 3","math","full_year",800,778,388,96,294,285,103
2014,"LEP","grade 3","read","full_year",800,775,307,164,304,279,28
2014,"LEP","grade 4","math","full_year",629,605,338,90,177,256,82
2014,"LEP","grade 4","read","full_year",629,604,239,109,256,223,16
2014,"LEP","grade 5","math","full_year",567,549,282,75,192,229,53
2014,"LEP","grade 5","read","full_year",567,543,223,67,253,211,12
2014,"LEP","grade 10","math","full_year",355,341,127,64,150,113,14
2014,"LEP","grade 10","read","full_year",355,341,95,78,168,89,6
2014,"LEP","grade 7","math","full_year",362,335,163,49,123,131,32
2014,"LEP","grade 7","read","full_year",362,330,148,39,143,124,24
2014,"LEP","grade 8","math","full_year",340,304,148,34,122,116,32
2014,"LEP","grade 8","read","full_year",340,302,93,55,154,84,9
2014,"Economy","All","math","full_year",24787,24249,11566,4107,8576,9010,2556
2014,"Economy","All","read","full_year",24787,24185,10179,3878,10128,9044,1135
2014,"Economy","grade 3","math","full_year",4140,4117,1578,758,1781,1247,331
2014,"Economy","grade 3","read","full_year",4140,4104,1406,1049,1649,1325,81
2014,"Economy","grade 4","math","full_year",3669,3645,1881,699,1065,1411,470
2014,"Economy","grade 4","read","full_year",3669,3645,1510,629,1506,1385,125
2014,"Economy","grade 7","math","full_year",3494,3388,1762,508,1118,1411,351
2014,"Economy","grade 7","read","full_year",3494,3379,1653,281,1445,1327,326
2014,"Economy","grade 8","math","full_year",3337,3231,1943,326,962,1493,450
2014,"Economy","grade 8","read","full_year",3337,3230,1515,359,1356,1324,191
2014,"Economy","grade 10","math","full_year",3301,3099,1374,565,1160,1221,153
2014,"Economy","grade 10","read","full_year",3301,3104,1296,564,1244,1075,221
2014,"Economy","grade 6","math","full_year",3358,3300,1461,637,1202,1051,410
2014,"Economy","grade 6","read","full_year",3358,3298,1233,607,1458,1141,92
2014,"Economy","grade 5","math","full_year",3488,3469,1567,614,1288,1176,391
2014,"Economy","grade 5","read","full_year",3488,3425,1566,389,1470,1467,99
2014,"Direct Cert","All","math","full_year",14619,14293,6133,2799,5361,4951,1182
2014,"Direct Cert","All","read","full_year",14619,14244,5305,2613,6326,4781,524
2014,"Direct Cert","grade 7","math","full_year",2122,2047,965,356,726,804,161
2014,"Direct Cert","grade 7","read","full_year",2122,2042,908,197,937,755,153
2014,"Direct Cert","grade 4","math","full_year",2201,2189,1007,490,692,783,224
2014,"Direct Cert","grade 4","read","full_year",2201,2187,785,449,953,719,66
2014,"Direct Cert","grade 8","math","full_year",1934,1860,1024,222,614,829,195
2014,"Direct Cert","grade 8","read","full_year",1934,1858,755,241,862,669,86
2014,"Direct Cert","grade 3","math","full_year",2479,2472,803,539,1130,652,151
2014,"Direct Cert","grade 3","read","full_year",2479,2460,698,732,1030,670,28
2014,"Direct Cert","grade 10","math","full_year",1843,1735,750,328,657,671,79
2014,"Direct Cert","grade 10","read","full_year",1843,1738,695,333,710,582,113
2014,"Direct Cert","grade 6","math","full_year",2006,1965,763,448,754,586,177
2014,"Direct Cert","grade 6","read","full_year",2006,1966,639,412,915,605,34
2014,"Direct Cert","grade 5","math","full_year",2034,2025,821,416,788,626,195
2014,"Direct Cert","grade 5","read","full_year",2034,1993,825,249,919,781,44
2010,"All","All","math","full_year",31438,30228,13847,5636,10745,10735,3112
2010,"All","All","read","full_year",31438,30262,13753,4710,11799,11168,2585
2010,"All","grade 3","math","full_year",4842,4775,1793,1104,1878,1396,397
2010,"All","grade 3","read","full_year",4842,4772,1977,1089,1706,1674,303
2010,"All","grade 5","math","full_year",4417,4342,1974,706,1662,1488,486
2010,"All","grade 5","read","full_year",4417,4342,2004,651,1687,1702,302
2010,"All","grade 4","math","full_year",4765,4707,2156,889,1662,1660,496
2010,"All","grade 4","read","full_year",4765,4708,2149,852,1707,1832,317
2010,"All","grade 6","math","full_year",4450,4380,1943,781,1656,1386,557
2010,"All","grade 6","read","full_year",4450,4381,1853,664,1864,1615,238
2010,"All","grade 7","math","full_year",4263,4175,2233,744,1198,1752,481
2010,"All","grade 7","read","full_year",4263,4184,2071,456,1657,1517,554
2010,"All","grade 8","math","full_year",4426,4305,2206,746,1353,1780,426
2010,"All","grade 8","read","full_year",4426,4320,2130,556,1634,1587,543
2010,"All","grade 10","math","full_year",4275,3544,1542,666,1336,1273,269
2010,"All","grade 10","read","full_year",4275,3555,1569,442,1544,1241,328
2010,"MALE","All","math","full_year",15704,15023,6650,3138,5235,5089,1561
2010,"MALE","All","read","full_year",15704,15049,6148,3001,5900,5050,1098
2010,"MALE","grade 3","math","full_year",2436,2395,856,605,934,662,194
2010,"MALE","grade 3","read","full_year",2436,2393,845,684,864,725,120
2010,"MALE","grade 5","math","full_year",2261,2210,978,410,822,732,246
2010,"MALE","grade 5","read","full_year",2261,2209,910,423,876,782,128
2010,"MALE","grade 4","math","full_year",2403,2374,1079,473,822,836,243
2010,"MALE","grade 4","read","full_year",2403,2375,991,525,859,858,133
2010,"MALE","grade 7","math","full_year",2135,2085,1061,442,582,811,250
2010,"MALE","grade 7","read","full_year",2135,2091,906,306,879,673,233
2010,"MALE","grade 6","math","full_year",2247,2208,920,452,836,642,278
2010,"MALE","grade 6","read","full_year",2247,2210,847,437,926,734,113
2010,"MALE","grade 8","math","full_year",2196,2126,1057,411,658,845,212
2010,"MALE","grade 8","read","full_year",2196,2137,976,364,797,749,227
2010,"MALE","grade 10","math","full_year",2026,1625,699,345,581,561,138
2010,"MALE","grade 10","read","full_year",2026,1634,673,262,699,529,144
