"year","lea_code","lea_name","subgroup","grade","subject","enrollment_status","n_eligible","n_test_takers","proficient_or_advanced","below_basic","basic","proficient","advanced"
2014,0,"CHARTER SECTOR LEA","BL7","grade 7","math","full_year",1779,1649,1029,156,464,767,262
2014,0,"CHARTER SECTOR LEA","BL7","grade 7","read","full_year",1779,1642,931,85,626,731,200
2014,0,"CHARTER SECTOR LEA","BL7","grade 3","math","full_year",1582,1575,694,216,665,548,146
2014,0,"CHARTER SECTOR LEA","BL7","grade 3","read","full_year",1582,1562,656,292,614,620,36
2014,0,"CHARTER SECTOR LEA","BL7","grade 6","math","full_year",1633,1571,833,208,530,576,257
2014,0,"CHARTER SECTOR LEA","BL7","grade 6","read","full_year",1633,1567,689,218,660,644,45
2014,0,"CHARTER SECTOR LEA","BL7","grade 5","math","full_year",1355,1353,758,129,466,531,227
2014,0,"CHARTER SECTOR LEA","BL7","grade 5","read","full_year",1355,1352,751,101,500,695,56
2014,0,"CHARTER SECTOR LEA","BL7","grade 8","math","full_year",1565,1420,1029,88,303,734,295
2014,0,"CHARTER SECTOR LEA","BL7","grade 8","read","full_year",1565,1420,823,90,507,722,101
2014,0,"CHARTER SECTOR LEA","BL7","grade 10","math","full_year",1351,1335,713,191,431,641,72
2014,0,"CHARTER SECTOR LEA","BL7","grade 10","read","full_year",1351,1337,644,156,537,535,109
2014,0,"CHARTER SECTOR LEA","HI7","all","math","full_year",1563,1507,885,144,478,701,184
2014,0,"CHARTER SECTOR LEA","HI7","all","read","full_year",1563,1502,790,151,561,694,96
2014,0,"CHARTER SECTOR LEA","HI7","grade 10","math","full_year",145,143,78,17,48,71,7
2014,0,"CHARTER SECTOR LEA","HI7","grade 10","read","full_year",145,144,73,16,55,61,12
2014,0,"CHARTER SECTOR LEA","HI7","grade 4","math","full_year",215,215,135,19,61,106,29
2014,0,"CHARTER SECTOR LEA","HI7","grade 4","read","full_year",215,215,110,25,80,102,8
2014,0,"CHARTER SECTOR LEA","HI7","grade 6","math","full_year",298,279,159,32,88,118,41
2014,0,"CHARTER SECTOR LEA","HI7","grade 6","read","full_year",298,278,127,34,117,116,11
2014,0,"CHARTER SECTOR LEA","HI7","grade 7","math","full_year",240,223,152,13,58,118,34
2014,0,"CHARTER SECTOR LEA","HI7","grade 7","read","full_year",240,220,138,6,76,103,35
2014,0,"CHARTER SECTOR LEA","HI7","grade 3","math","full_year",228,228,94,27,107,75,19
2014,0,"CHARTER SECTOR LEA","HI7","grade 3","read","full_year",228,228,104,42,82,97,7
