"fiscal_year","lea_code","lea_name","indicator","value","target","weight","target_dir","on_target"
2012,103,"AppleTree Early Learning Center PCS","7b_a",1,0.9,0.1667,"up",TRUE
2012,103,"AppleTree Early Learning Center PCS","7b_b",0.77,0.6,0.1667,"up",TRUE
2012,103,"AppleTree Early Learning Center PCS","7c_a",1,0.6,0.1667,"up",TRUE
2012,103,"AppleTree Early Learning Center PCS","7c_b",0.85,0.8,0.1667,"up",TRUE
2012,103,"AppleTree Early Learning Center PCS","8",NA,0.75,1,"up",NA
2012,103,"AppleTree Early Learning Center PCS","9",NA,0,1,"down",NA
2012,104,"Arts and Technology PCS","1",NA,0.85,1,"up",NA
2012,104,"Arts and Technology PCS","10",0,0,1,"down",TRUE
2012,104,"Arts and Technology PCS","11",0.54,1,1,"up",FALSE
2012,104,"Arts and Technology PCS","12",NA,1,1,"up",NA
2012,104,"Arts and Technology PCS","13",NA,1,1,"up",NA
2012,104,"Arts and Technology PCS","14_a",NA,0.27,0.3333,"up",NA
2012,104,"Arts and Technology PCS","14_b",NA,0.51,0.3333,"up",NA
2012,104,"Arts and Technology PCS","14_c",NA,0.64,0.3333,"up",NA
2012,104,"Arts and Technology PCS","15",0.64,NA,NA,NA,NA
2012,104,"Arts and Technology PCS","18",NA,NA,NA,NA,NA
2012,104,"Arts and Technology PCS","19",NA,NA,NA,NA,NA
2012,104,"Arts and Technology PCS","2",NA,0.06,1,"down",NA
2012,104,"Arts and Technology PCS","20",NA,NA,NA,NA,NA
2012,104,"Arts and Technology PCS","3a",0,0.5,0.3333,"up",FALSE
2012,104,"Arts and Technology PCS","3b_math",1,0.95,0.1667,"up",TRUE
2012,104,"Arts and Technology PCS","3b_reading",1,0.95,0.1667,"up",TRUE
2012,104,"Arts and Technology PCS","3c_elem.math",0.1429,NA,NA,NA,NA
2012,104,"Arts and Technology PCS","3c_elem.reading",0.0857,NA,NA,NA,NA
2012,104,"Arts and Technology PCS","3c_sec.math",NA,NA,NA,NA,NA
2012,104,"Arts and Technology PCS","3c_sec.reading",NA,NA,NA,NA,NA
2012,104,"Arts and Technology PCS","4a",1,0,0.5,"down",FALSE
2012,104,"Arts and Technology PCS","4b_a",0,0,0.25,"down",TRUE
2012,104,"Arts and Technology PCS","4b_b",0,0,0.25,"down",TRUE
2012,104,"Arts and Technology PCS","5a",0.74,0.175,0.3333,"up",TRUE
2012,104,"Arts and Technology PCS","5b",0.07,0.15,0.3333,"down",TRUE
2012,104,"Arts and Technology PCS","5c",0.06,0.15,0.3333,"down",TRUE
2012,104,"Arts and Technology PCS","6a",NA,0.63,0.5,"up",NA
2012,104,"Arts and Technology PCS","6b",NA,0.15,0.5,"down",NA
2012,104,"Arts and Technology PCS","7a_a",NA,0.7,0.1667,"up",NA
2012,104,"Arts and Technology PCS","7a_b",NA,0.6,0.1667,"up",NA
2012,104,"Arts and Technology PCS","7b_a",NA,0.9,0.1667,"up",NA
2012,104,"Arts and Technology PCS","7b_b",NA,0.6,0.1667,"up",NA
2012,104,"Arts and Technology PCS","7c_a",NA,0.6,0.1667,"up",NA
2012,104,"Arts and Technology PCS","7c_b",NA,0.8,0.1667,"up",NA
2012,104,"Arts and Technology PCS","8",0.81,0.75,1,"up",TRUE
2012,104,"Arts and Technology PCS","9",0,0,1,"down",TRUE
2012,106,"Booker T. Washington PCS","1",0.6154,0.85,1,"up",FALSE
2012,106,"Booker T. Washington PCS","10",NA,0,1,"down",NA
2012,106,"Booker T. Washington PCS","11",NA,1,1,"up",NA
2012,106,"Booker T. Washington PCS","12",NA,1,1,"up",NA
2012,106,"Booker T. Washington PCS","13",NA,1,1,"up",NA
2012,106,"Booker T. Washington PCS","14_a",NA,0.27,0.3333,"up",NA
2012,106,"Booker T. Washington PCS","14_b",NA,0.51,0.3333,"up",NA
2012,106,"Booker T. Washington PCS","14_c",NA,0.64,0.3333,"up",NA
2012,106,"Booker T. Washington PCS","15",NA,NA,NA,NA,NA
2012,106,"Booker T. Washington PCS","18",NA,NA,NA,NA,NA
2012,106,"Booker T. Washington PCS","19",NA,NA,NA,NA,NA
2012,106,"Booker T. Washington PCS","2",0.08,0.06,1,"down",FALSE
2012,106,"Booker T. Washington PCS","20",NA,NA,NA,NA,NA
2012,106,"Booker T. Washington PCS","3a",NA,0.5,0.3333,"up",NA
2012,106,"Booker T. Washington PCS","3b_math",NA,0.95,0.1667,"up",NA
2012,106,"Booker T. Washington PCS","3b_reading",NA,0.95,0.1667,"up",NA
2012,106,"Booker T. Washington PCS","3c_elem.math",NA,NA,NA,NA,NA
2012,106,"Booker T. Washington PCS","3c_elem.reading",NA,NA,NA,NA,NA
2012,106,"Booker T. Washington PCS","3c_sec.math",0.0833,NA,NA,NA,NA
2012,106,"Booker T. Washington PCS","3c_sec.reading",0,NA,NA,NA,NA
2012,106,"Booker T. Washington PCS","4a",NA,0,0.5,"down",NA
2012,106,"Booker T. Washington PCS","4b_a",NA,0,0.25,"down",NA
