"year","lea_code","lea_name","subgroup","subject","grade","enrollment_status","n_test_takers","baseline","target"
2014,140,"Roots PCS","BL7","Math","all","full_year",36,0.388888888888889,0.541666666666667
2014,156,"Center City PCS","SPED","Math","all","full_year",138,0.196078431372549,0.397058823529412
2014,159,"Imagine Southeast PCS","BL7","Math","all","full_year",134,0.330578512396694,0.497933884297521
2014,160,"Washington Yu Ying PCS","All","Math","all","full_year",167,0.571428571428571,0.678571428571429
2014,114,"D.C. Bilingual PCS","HI7","Math","all","full_year",136,0.451923076923077,0.588942307692308
2014,121,"Hope Community Academy PCS","ECONOMY","Math","all","full_year",201,0.421686746987952,0.566265060240964
2014,132,"Mary McLeod Bethune  PCS","All","Math","all","full_year",175,0.306451612903226,0.479838709677419
2014,139,"Potomac Lighthouse PCS","ECONOMY","Math","all","full_year",157,0.636363636363636,0.727272727272727
2014,142,"School for Educational Evolution and Development (SEED) PCS","All","Math","all","full_year",259,0.759562841530055,0.819672131147541
2014,152,"Washington Math Science & Technology (WMST) PCS","ECONOMY","Math","all","full_year",75,0.590909090909091,0.693181818181818
2014,159,"Imagine Southeast PCS","ECONOMY","Math","all","full_year",138,0.339805825242718,0.504854368932039
2014,175,"Somerset PCS","All","Math","all","full_year",146,0.390687043596476,0.44146312329677
2014,175,"Somerset PCS","SPED","Math","all","full_year",31,0.0491167394068622,0.128357011122957
2014,113,"Community Academy PCS","BL7","Math","all","full_year",283,0.401247401247401,0.550935550935551
2014,115,"D.C. Preparatory Academy PCS","All","Math","all","full_year",471,0.850649350649351,0.887987012987013
2014,115,"D.C. Preparatory Academy PCS","SPED","Math","all","full_year",69,0.63265306122449,0.724489795918367
2014,124,"Howard University Middle School of Math and Science","ECONOMY","Math","all","full_year",199,0.760736196319018,0.820552147239264
2014,126,"IDEA PCS","BL7","Math","all","full_year",46,0.383561643835616,0.537671232876712
2014,138,"Paul PCS","ECONOMY","Math","all","full_year",34,0.735074626865672,0.801305970149254
2014,143,"St. Coletta Special Education PCS","All","Math","all","full_year",95,0.848101265822785,0.886075949367089
2014,143,"St. Coletta Special Education PCS","SPED","Math","all","full_year",95,0.848101265822785,0.886075949367089
2014,152,"Washington Math Science & Technology (WMST) PCS","BL7","Math","all","full_year",74,0.590909090909091,0.693181818181818
2014,155,"Achievement Preparatory Academy PCS","All","Math","all","full_year",411,0.869230769230769,0.901923076923077
2014,168,"Basis DC PCS","ECONOMY","Math","all","full_year",119,0.588884746131122,0.657403955109268
2014,1,"District of Columbia Public Schools","SPED","Math","all","full_year",3114,0.170835417708854,0.378126563281641
2014,114,"D.C. Bilingual PCS","LEP","Math","all","full_year",117,0.364864864864865,0.523648648648649
2014,115,"D.C. Preparatory Academy PCS","ECONOMY","Math","all","full_year",393,0.838174273858921,0.878630705394191
2014,121,"Hope Community Academy PCS","BL7","Math","all","full_year",225,0.405286343612335,0.553964757709251
2014,127,"Ideal Academy PCS","BL7","Math","all","full_year",111,0.421383647798742,0.566037735849057
2014,138,"Paul PCS","All","Math","all","full_year",94,0.726057906458797,0.794543429844098
2014,139,"Potomac Lighthouse PCS","BL7","Math","all","full_year",156,0.641975308641975,0.731481481481481
2014,159,"Imagine Southeast PCS","SPED","Math","all","full_year",30,0.041526613754444,0.201272178128703
2014,160,"Washington Yu Ying PCS","BL7","Math","all","full_year",81,0.472430973827688,0.604323230370766
2014,167,"Richard Wright PCS for Journalism and Media Arts","ECONOMY","Math","all","full_year",103,0.369468349583669,0.527101262187752
2014,168,"Basis DC PCS","HI7","Math","all","full_year",32,0.843972243306171,0.85697455636399
2014,170,"DC Scholars PCS","All","Math","all","full_year",57,0.681482525451799,0.708025648330816
2014,109,"Cesar Chavez PCS","LEP","Math","all","full_year",134,0.703448275862069,0.777586206896552
2014,116,"E.L. Haynes PCS","ECONOMY","Math","all","full_year",393,0.744186046511628,0.808139534883721
2014,118,"Early Childhood Academy PCS","ECONOMY","Math","all","full_year",29,0.5,0.625
2014,120,"Friendship PCS","ECONOMY","Math","all","full_year",1671,0.441844919786096,0.581383689839572
2014,138,"Paul PCS","BL7","Math","all","full_year",69,0.728723404255319,0.796542553191489
2014,139,"Potomac Lighthouse PCS","All","Math","all","full_year",157,0.654761904761905,0.741071428571429
2014,142,"School for Educational Evolution and Development (SEED) PCS","ECONOMY","Math","all","full_year",202,0.777777777777778,0.833333333333333
2014,1,"District of Columbia Public Schools","HI7","Math","all","full_year",2798,0.52668484612388,0.64501363459291
2014,113,"Community Academy PCS","ECONOMY","Math","all","full_year",323,0.43142144638404,0.57356608478803
2014,116,"E.L. Haynes PCS","LEP","Math","all","full_year",180,0.703703703703704,0.777777777777778
2014,120,"Friendship PCS","BL7","Math","all","full_year",1650,0.466205428419372,0.599654071314529
2014,127,"Ideal Academy PCS","ECONOMY","Math","all","full_year",80,0.425531914893617,0.569148936170213
2014,135,"Meridian PCS","ECONOMY","Math","all","full_year",256,0.495412844036697,0.621559633027523
2014,153,"William E. Doar Jr PCS","All","Math","all","full_year",184,0.338983050847458,0.504237288135593
2014,156,"Center City PCS","HI7","Math","all","full_year",206,0.352380952380952,0.514285714285714
2014,167,"Richard Wright PCS for Journalism and Media Arts","BL7","Math","all","full_year",102,0.297061515699609,0.472796136774707
2014,1,"District of Columbia Public Schools","WH7","Math","all","full_year",2026,0.886403766921719,0.914802825191289
2014,104,"Arts and Technology PCS","All","Math","all","full_year",166,0.358208955223881,0.51865671641791
2014,106,"Booker T. Washington PCS","All","Math","all","full_year",29,0.18,0.385
2014,113,"Community Academy PCS","LEP","Math","all","full_year",69,0.441860465116279,0.581395348837209
