school_year,lea_name,lea_code,school_name,school_code,elem_sec_classification,poverty_quartile,num_total_classes,num_hq_classes,num_nhq_classes
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,BROOKLAND EC AT BUNKER HILL,346,ELEM,2,16,4,12
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,BROWNE EC,404,ELEM,4,24,20,4
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,BURROUGHS EC,220,ELEM,3,18,15,3
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,BURRVILLE ES,221,ELEM,3,16,16,0
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,HOUSTON ES,251,ELEM,4,20,15,5
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,LANGDON EC,262,ELEM,3,153,122,31
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,LASALLE BACKUS EC,264,ELEM,3,174,168,6
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,NOYES EC,290,ELEM,3,22,15,7
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,OYSTER ADAMS BILINGUAL SCHOOL (OYSTER),292,ELEM,1,125,125,0
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,PLUMMER ES,299,ELEM,4,158,111,47
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,RAYMOND EC,302,ELEM,2,20,20,0
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,SCHOOL WITHOUT WALLS AT FRANCIS STEVENS,409,ELEM,1,188,163,25
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,STANTON ES,319,ELEM,4,139,115,24
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,TAKOMA EC,324,ELEM,2,240,185,55
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,TRUESDELL EC,327,ELEM,3,131,113,18
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,WALKER JONES EC,332,ELEM,4,202,153,49
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,WEST EC,336,ELEM,2,77,58,19
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,WHEATLEY EC,335,ELEM,4,27,27,0
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,WHITTIER EC,338,ELEM,3,86,70,16
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,BRIGHTWOOD EC,213,ELEM,2,31,24,7
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,BROOKLAND EC AT BUNKER HILL,346,ELEM,2,15,15,0
2013-2014,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1,BROWNE EC,404,ELEM,4,42,22,20
