school_year,lea_name,lea_code,school_name,school_code,elem_sec_classification,poverty_quartile,num_total_classes,num_hq_classes,num_nhq_classes
2013-2014,Latin American Montessori Bilingual (LAMB) PCS,130,Latin American Montessori Bilingual (LAMB) PCS,193,ELEM,1,23,22,1
2013-2014,Mary McLeod Bethune PCS,132,Mary McLeod Bethune PCS Slowe Campus,135,ELEM,3,62,61,1
2013-2014,Meridian PCS,135,Meridian PCS,165,ELEM,2,39,24,15
2013-2014,Mundo Verde Bilingual PCS,171,Mundo Verde Bilingual PCS,3065,ELEM,1,19,18,1
2013-2014,District of Columbia Public Schools,001,Noyes EC,290,ELEM,3,13,9,4
2013-2014,District of Columbia Public Schools,001,Noyes EC,290,SEC,3,18,14,4
2013-2014,District of Columbia Public Schools,001,Oyster Adams Bilingual School (Oyster),292,ELEM,1,16,16,0
2013-2014,District of Columbia Public Schools,001,Oyster Adams Bilingual School (Oyster),292,SEC,1,40,36,4
2013-2014,Perry Street Prep PCS,125,Perry Street Prep PCS,161,ELEM,2,117,111,6
2013-2014,District of Columbia Public Schools,001,Plummer ES,299,ELEM,4,2,2,0
2013-2014,Potomac Lighthouse PCS,139,Potomac Lighthouse PCS,117,ELEM,3,28,3,25
2013-2014,District of Columbia Public Schools,001,Raymond EC,302,ELEM,2,24,24,0
2013-2014,District of Columbia Public Schools,001,Raymond EC,302,SEC,2,21,13,8
2013-2014,District of Columbia Public Schools,001,Roosevelt STAY at MacFarland,456,SEC,NA,14,13,1
2013-2014,District of Columbia Public Schools,001,School Without Walls at Francis Stevens,409,ELEM,1,8,7,1
2013-2014,Sela PCS,174,Sela PCS,197,ELEM,1,3,0,3
2013-2014,Shining Stars Montessori PCS,166,Shining Stars Montessori PCS,3066,ELEM,1,1,1,0
2013-2014,District of Columbia Public Schools,001,Stanton ES,319,ELEM,4,4,4,0
2013-2014,District of Columbia Public Schools,001,Takoma EC,324,ELEM,2,31,29,2
2013-2014,District of Columbia Public Schools,001,Takoma EC,324,SEC,2,37,24,13
2013-2014,Tree of Life PCS,147,Tree of Life PCS,183,ELEM,3,11,8,3
2013-2014,District of Columbia Public Schools,001,Truesdell EC,327,ELEM,3,20,18,2
2013-2014,District of Columbia Public Schools,001,Truesdell EC,327,SEC,3,27,18,9
2013-2014,Two Rivers PCS,149,Two Rivers PCS,198,ELEM,1,110,109,1
2013-2014,District of Columbia Public Schools,001,Walker Jones EC,332,ELEM,4,19,11,8
2013-2014,District of Columbia Public Schools,001,Walker Jones EC,332,SEC,4,22,18,4
2013-2014,Washington Yu Ying PCS,160,Washington Yu Ying PCS,1117,ELEM,1,47,46,1
2013-2014,District of Columbia Public Schools,001,West EC,336,ELEM,2,10,8,2
2013-2014,District of Columbia Public Schools,001,West EC,336,SEC,2,18,15,3
2013-2014,District of Columbia Public Schools,001,Wheatley EC,335,ELEM,4,14,14,0
2013-2014,District of Columbia Public Schools,001,Wheatley EC,335,SEC,4,20,18,2
2013-2014,District of Columbia Public Schools,001,Whittier EC,338,ELEM,3,22,21,1
2013-2014,District of Columbia Public Schools,001,Whittier EC,338,SEC,3,15,6,9
2013-2014,William E. Doar Jr. PCS,153,William E. Doar Jr. PCS,210,ELEM,2,39,39,0
,,,,,,,,,
