,Key,Month,School_Code,School_Year,Student_Group,Metric,SchoolScore,AverageScore,ReportType,NSize,count
151-2013-14-All Students-Net Cumulative-External-January,151-2013-14-All Students-Net Cumulative-External,January,151,2013-14,All Students,Net Cumulative,-0.103448279,0.009315548,External,522,-54
151-2013-14-All Students-Entry-External-March,151-2013-14-All Students-Entry-External,March,151,2013-14,All Students,Entry,0.101532564,0.077804506,External,522,53
151-2013-14-All Students-Withdrawal-External-March,151-2013-14-All Students-Withdrawal-External,March,151,2013-14,All Students,Withdrawal,0.214559391,0.075092934,External,522,112
151-2013-14-All Students-Net Cumulative-External-March,151-2013-14-All Students-Net Cumulative-External,March,151,2013-14,All Students,Net Cumulative,-0.11302682,0.002711568,External,522,-59
151-2013-14-All Students-Entry-External-May,151-2013-14-All Students-Entry-External,May,151,2013-14,All Students,Entry,0.101532564,0.09026897,External,522,53
151-2013-14-All Students-Withdrawal-External-May,151-2013-14-All Students-Withdrawal-External,May,151,2013-14,All Students,Withdrawal,0.229885057,0.103476927,External,522,120
151-2013-14-All Students-Net Cumulative-External-May,151-2013-14-All Students-Net Cumulative-External,May,151,2013-14,All Students,Net Cumulative,-0.128352493,-0.01320796,External,522,-67
151-2013-14-All Students-Entry-External-November,151-2013-14-All Students-Entry-External,November,151,2013-14,All Students,Entry,0.093869731,0.041766893,External,522,49
151-2013-14-All Students-Withdrawal-External-November,151-2013-14-All Students-Withdrawal-External,November,151,2013-14,All Students,Withdrawal,0.028735632,0.021473868,External,522,15
151-2013-14-All Students-Net Cumulative-External-November,151-2013-14-All Students-Net Cumulative-External,November,151,2013-14,All Students,Net Cumulative,0.065134101,0.020293023,External,522,34
151-2013-14-All Students-Entry-External-October,151-2013-14-All Students-Entry-External,October,151,2013-14,All Students,Entry,0.093869731,0.033326045,External,522,49
151-2013-14-All Students-Withdrawal-External-October,151-2013-14-All Students-Withdrawal-External,October,151,2013-14,All Students,Withdrawal,0.011494253,0.009184343,External,522,6
151-2013-14-All Students-Net Cumulative-External-October,151-2013-14-All Students-Net Cumulative-External,October,151,2013-14,All Students,Net Cumulative,0.082375482,0.024141701,External,522,43
153-2013-14-All Students-Entry-External-April,153-2013-14-All Students-Entry-External,April,153,2013-14,All Students,Entry,0.005141388,0.086674489,External,389,2
153-2013-14-All Students-Withdrawal-External-April,153-2013-14-All Students-Withdrawal-External,April,153,2013-14,All Students,Withdrawal,0.082262211,0.082102925,External,389,32
153-2013-14-All Students-Net Cumulative-External-April,153-2013-14-All Students-Net Cumulative-External,April,153,2013-14,All Students,Net Cumulative,-0.077120826,0.00457157,External,389,-30
153-2013-14-All Students-Entry-External-December,153-2013-14-All Students-Entry-External,December,153,2013-14,All Students,Entry,0,0.040897015,External,389,0
153-2013-14-All Students-Withdrawal-External-December,153-2013-14-All Students-Withdrawal-External,December,153,2013-14,All Students,Withdrawal,0.023136247,0.02705875,External,389,9
153-2013-14-All Students-Net Cumulative-External-December,153-2013-14-All Students-Net Cumulative-External,December,153,2013-14,All Students,Net Cumulative,-0.023136247,0.013838265,External,389,-9
153-2013-14-All Students-Entry-External-February,153-2013-14-All Students-Entry-External,February,153,2013-14,All Students,Entry,0.002570694,0.067893989,External,389,1
153-2013-14-All Students-Withdrawal-External-February,153-2013-14-All Students-Withdrawal-External,February,153,2013-14,All Students,Withdrawal,0.066838048,0.05751529,External,389,26
153-2013-14-All Students-Net Cumulative-External-February,153-2013-14-All Students-Net Cumulative-External,February,153,2013-14,All Students,Net Cumulative,-0.064267352,0.010378699,External,389,-25
153-2013-14-All Students-Entry-External-January,153-2013-14-All Students-Entry-External,January,153,2013-14,All Students,Entry,0.002570694,0.055847283,External,389,1
153-2013-14-All Students-Withdrawal-External-January,153-2013-14-All Students-Withdrawal-External,January,153,2013-14,All Students,Withdrawal,0.059125964,0.044294804,External,389,23
153-2013-14-All Students-Net Cumulative-External-January,153-2013-14-All Students-Net Cumulative-External,January,153,2013-14,All Students,Net Cumulative,-0.056555271,0.01155248,External,389,-22
153-2013-14-All Students-Entry-External-March,153-2013-14-All Students-Entry-External,March,153,2013-14,All Students,Entry,0.005141388,0.077098906,External,389,2
153-2013-14-All Students-Withdrawal-External-March,153-2013-14-All Students-Withdrawal-External,March,153,2013-14,All Students,Withdrawal,0.077120826,0.070673995,External,389,30
153-2013-14-All Students-Net Cumulative-External-March,153-2013-14-All Students-Net Cumulative-External,March,153,2013-14,All Students,Net Cumulative,-0.071979433,0.006424909,External,389,-28
153-2013-14-All Students-Entry-External-May,153-2013-14-All Students-Entry-External,May,153,2013-14,All Students,Entry,0.005141388,0.093222953,External,389,2
153-2013-14-All Students-Withdrawal-External-May,153-2013-14-All Students-Withdrawal-External,May,153,2013-14,All Students,Withdrawal,0.087403595,0.093284734,External,389,34
153-2013-14-All Students-Net Cumulative-External-May,153-2013-14-All Students-Net Cumulative-External,May,153,2013-14,All Students,Net Cumulative,-0.082262211,-6.1778E-05,External,389,-32
153-2013-14-All Students-Entry-External-November,153-2013-14-All Students-Entry-External,November,153,2013-14,All Students,Entry,0,0.033483658,External,389,0
153-2013-14-All Students-Withdrawal-External-November,153-2013-14-All Students-Withdrawal-External,November,153,2013-14,All Students,Withdrawal,0.015424165,0.018348057,External,389,6
153-2013-14-All Students-Net Cumulative-External-November,153-2013-14-All Students-Net Cumulative-External,November,153,2013-14,All Students,Net Cumulative,-0.015424165,0.015135603,External,389,-6
153-2013-14-All Students-Entry-External-October,153-2013-14-All Students-Entry-External,October,153,2013-14,All Students,Entry,0,0.02341385,External,389,0
153-2013-14-All Students-Withdrawal-External-October,153-2013-14-All Students-Withdrawal-External,October,153,2013-14,All Students,Withdrawal,0.007712082,0.007722246,External,389,3
153-2013-14-All Students-Net Cumulative-External-October,153-2013-14-All Students-Net Cumulative-External,October,153,2013-14,All Students,Net Cumulative,-0.007712082,0.015691604,External,389,-3
158-2013-14-All Students-Entry-External-April,158-2013-14-All Students-Entry-External,April,158,2013-14,All Students,Entry,0.055555556,0.050425913,External,288,16
158-2013-14-All Students-Withdrawal-External-April,158-2013-14-All Students-Withdrawal-External,April,158,2013-14,All Students,Withdrawal,0.052083332,0.057787359,External,288,15
158-2013-14-All Students-Net Cumulative-External-April,158-2013-14-All Students-Net Cumulative-External,April,158,2013-14,All Students,Net Cumulative,0.003472222,-0.007361447,External,288,1
158-2013-14-All Students-Entry-External-December,158-2013-14-All Students-Entry-External,December,158,2013-14,All Students,Entry,0.017361112,0.025870228,External,288,5
158-2013-14-All Students-Withdrawal-External-December,158-2013-14-All Students-Withdrawal-External,December,158,2013-14,All Students,Withdrawal,0.017361112,0.029708697,External,288,5
158-2013-14-All Students-Net Cumulative-External-December,158-2013-14-All Students-Net Cumulative-External,December,158,2013-14,All Students,Net Cumulative,0,-0.003838469,External,288,0
158-2013-14-All Students-Entry-External-February,158-2013-14-All Students-Entry-External,February,158,2013-14,All Students,Entry,0.048611112,0.038016617,External,288,14
158-2013-14-All Students-Withdrawal-External-February,158-2013-14-All Students-Withdrawal-External,February,158,2013-14,All Students,Withdrawal,0.03125,0.045062572,External,288,9
158-2013-14-All Students-Net Cumulative-External-February,158-2013-14-All Students-Net Cumulative-External,February,158,2013-14,All Students,Net Cumulative,0.017361112,-0.007045956,External,288,5
158-2013-14-All Students-Entry-External-January,158-2013-14-All Students-Entry-External,January,158,2013-14,All Students,Entry,0.034722224,0.033021349,External,288,10
158-2013-14-All Students-Withdrawal-External-January,158-2013-14-All Students-Withdrawal-External,January,158,2013-14,All Students,Withdrawal,0.03125,0.038121779,External,288,9
158-2013-14-All Students-Net Cumulative-External-January,158-2013-14-All Students-Net Cumulative-External,January,158,2013-14,All Students,Net Cumulative,0.003472222,-0.005100431,External,288,1
158-2013-14-All Students-Entry-External-March,158-2013-14-All Students-Entry-External,March,158,2013-14,All Students,Entry,0.055555556,0.042065412,External,288,16
158-2013-14-All Students-Withdrawal-External-March,158-2013-14-All Students-Withdrawal-External,March,158,2013-14,All Students,Withdrawal,0.041666668,0.052424021,External,288,12
158-2013-14-All Students-Net Cumulative-External-March,158-2013-14-All Students-Net Cumulative-External,March,158,2013-14,All Students,Net Cumulative,0.013888889,-0.010358607,External,288,4
158-2013-14-All Students-Entry-External-May,158-2013-14-All Students-Entry-External,May,158,2013-14,All Students,Entry,0.055555556,0.05694605,External,288,16
158-2013-14-All Students-Withdrawal-External-May,158-2013-14-All Students-Withdrawal-External,May,158,2013-14,All Students,Withdrawal,0.059027776,0.062256809,External,288,17
158-2013-14-All Students-Net Cumulative-External-May,158-2013-14-All Students-Net Cumulative-External,May,158,2013-14,All Students,Net Cumulative,-0.003472222,-0.005310758,External,288,-1
158-2013-14-All Students-Entry-External-November,158-2013-14-All Students-Entry-External,November,158,2013-14,All Students,Entry,0.017361112,0.022820486,External,288,5
158-2013-14-All Students-Withdrawal-External-November,158-2013-14-All Students-Withdrawal-External,November,158,2013-14,All Students,Withdrawal,0.013888889,0.02261016,External,288,4
158-2013-14-All Students-Net Cumulative-External-November,158-2013-14-All Students-Net Cumulative-External,November,158,2013-14,All Students,Net Cumulative,0.003472222,0.000210327,External,288,1
158-2013-14-All Students-Entry-External-October,158-2013-14-All Students-Entry-External,October,158,2013-14,All Students,Entry,0.010416667,0.017036492,External,288,3
158-2013-14-All Students-Withdrawal-External-October,158-2013-14-All Students-Withdrawal-External,October,158,2013-14,All Students,Withdrawal,0.013888889,0.014828058,External,288,4
158-2013-14-All Students-Net Cumulative-External-October,158-2013-14-All Students-Net Cumulative-External,October,158,2013-14,All Students,Net Cumulative,-0.003472222,0.002208434,External,288,-1
159-2013-14-All Students-Entry-External-April,159-2013-14-All Students-Entry-External,April,159,2013-14,All Students,Entry,0.002873563,0.047947083,External,348,1
159-2013-14-All Students-Withdrawal-External-April,159-2013-14-All Students-Withdrawal-External,April,159,2013-14,All Students,Withdrawal,0.022988506,0.052624367,External,348,8
159-2013-14-All Students-Net Cumulative-External-April,159-2013-14-All Students-Net Cumulative-External,April,159,2013-14,All Students,Net Cumulative,-0.020114943,-0.004677287,External,348,-7
159-2013-14-All Students-Entry-External-December,159-2013-14-All Students-Entry-External,December,159,2013-14,All Students,Entry,0.002873563,0.023503855,External,348,1
159-2013-14-All Students-Withdrawal-External-December,159-2013-14-All Students-Withdrawal-External,December,159,2013-14,All Students,Withdrawal,0.011494253,0.025656581,External,348,4
159-2013-14-All Students-Net Cumulative-External-December,159-2013-14-All Students-Net Cumulative-External,December,159,2013-14,All Students,Net Cumulative,-0.00862069,-0.002152726,External,348,-3
159-2013-14-All Students-Entry-External-February,159-2013-14-All Students-Entry-External,February,159,2013-14,All Students,Entry,0.002873563,0.036929037,External,348,1
159-2013-14-All Students-Withdrawal-External-February,159-2013-14-All Students-Withdrawal-External,February,159,2013-14,All Students,Withdrawal,0.014367816,0.040608242,External,348,5
159-2013-14-All Students-Net Cumulative-External-February,159-2013-14-All Students-Net Cumulative-External,February,159,2013-14,All Students,Net Cumulative,-0.011494253,-0.003679205,External,348,-4
159-2013-14-All Students-Entry-External-January,159-2013-14-All Students-Entry-External,January,159,2013-14,All Students,Entry,0.002873563,0.031488512,External,348,1
159-2013-14-All Students-Withdrawal-External-January,159-2013-14-All Students-Withdrawal-External,January,159,2013-14,All Students,Withdrawal,0.011494253,0.033817369,External,348,4
159-2013-14-All Students-Net Cumulative-External-January,159-2013-14-All Students-Net Cumulative-External,January,159,2013-14,All Students,Net Cumulative,-0.00862069,-0.002328858,External,348,-3
159-2013-14-All Students-Entry-External-March,159-2013-14-All Students-Entry-External,March,159,2013-14,All Students,Entry,0.002873563,0.042193431,External,348,1
159-2013-14-All Students-Withdrawal-External-March,159-2013-14-All Students-Withdrawal-External,March,159,2013-14,All Students,Withdrawal,0.017241379,0.047105562,External,348,6
159-2013-14-All Students-Net Cumulative-External-March,159-2013-14-All Students-Net Cumulative-External,March,159,2013-14,All Students,Net Cumulative,-0.014367816,-0.00491213,External,348,-5
159-2013-14-All Students-Entry-External-May,159-2013-14-All Students-Entry-External,May,159,2013-14,All Students,Entry,0.002873563,0.052487377,External,348,1
159-2013-14-All Students-Withdrawal-External-May,159-2013-14-All Students-Withdrawal-External,May,159,2013-14,All Students,Withdrawal,0.022988506,0.056420997,External,348,8
159-2013-14-All Students-Net Cumulative-External-May,159-2013-14-All Students-Net Cumulative-External,May,159,2013-14,All Students,Net Cumulative,-0.020114943,-0.003933618,External,348,-7
159-2013-14-All Students-Entry-External-November,159-2013-14-All Students-Entry-External,November,159,2013-14,All Students,Entry,0.002873563,0.019668089,External,348,1
159-2013-14-All Students-Withdrawal-External-November,159-2013-14-All Students-Withdrawal-External,November,159,2013-14,All Students,Withdrawal,0.002873563,0.019061411,External,348,1
159-2013-14-All Students-Net Cumulative-External-November,159-2013-14-All Students-Net Cumulative-External,November,159,2013-14,All Students,Net Cumulative,0,0.000606677,External,348,0
159-2013-14-All Students-Entry-External-October,159-2013-14-All Students-Entry-External,October,159,2013-14,All Students,Entry,0.002873563,0.013288192,External,348,1
159-2013-14-All Students-Withdrawal-External-October,159-2013-14-All Students-Withdrawal-External,October,159,2013-14,All Students,Withdrawal,0,0.011663862,External,348,0
159-2013-14-All Students-Net Cumulative-External-October,159-2013-14-All Students-Net Cumulative-External,October,159,2013-14,All Students,Net Cumulative,0.002873563,0.00162433,External,348,1
160-2013-14-All Students-Entry-External-April,160-2013-14-All Students-Entry-External,April,160,2013-14,All Students,Entry,0.005494506,0.086674489,External,182,1
160-2013-14-All Students-Withdrawal-External-April,160-2013-14-All Students-Withdrawal-External,April,160,2013-14,All Students,Withdrawal,0.197802201,0.082102925,External,182,36
160-2013-14-All Students-Net Cumulative-External-April,160-2013-14-All Students-Net Cumulative-External,April,160,2013-14,All Students,Net Cumulative,-0.192307696,0.00457157,External,182,-35
160-2013-14-All Students-Entry-External-December,160-2013-14-All Students-Entry-External,December,160,2013-14,All Students,Entry,0.005494506,0.040897015,External,182,1
160-2013-14-All Students-Withdrawal-External-December,160-2013-14-All Students-Withdrawal-External,December,160,2013-14,All Students,Withdrawal,0.08791209,0.02705875,External,182,16
160-2013-14-All Students-Net Cumulative-External-December,160-2013-14-All Students-Net Cumulative-External,December,160,2013-14,All Students,Net Cumulative,-0.082417585,0.013838265,External,182,-15
160-2013-14-All Students-Entry-External-February,160-2013-14-All Students-Entry-External,February,160,2013-14,All Students,Entry,0.005494506,0.067893989,External,182,1
160-2013-14-All Students-Withdrawal-External-February,160-2013-14-All Students-Withdrawal-External,February,160,2013-14,All Students,Withdrawal,0.137362644,0.05751529,External,182,25
160-2013-14-All Students-Net Cumulative-External-February,160-2013-14-All Students-Net Cumulative-External,February,160,2013-14,All Students,Net Cumulative,-0.131868139,0.010378699,External,182,-24
160-2013-14-All Students-Entry-External-January,160-2013-14-All Students-Entry-External,January,160,2013-14,All Students,Entry,0.005494506,0.055847283,External,182,1
160-2013-14-All Students-Withdrawal-External-January,160-2013-14-All Students-Withdrawal-External,January,160,2013-14,All Students,Withdrawal,0.120879121,0.044294804,External,182,22
160-2013-14-All Students-Net Cumulative-External-January,160-2013-14-All Students-Net Cumulative-External,January,160,2013-14,All Students,Net Cumulative,-0.115384616,0.01155248,External,182,-21
160-2013-14-All Students-Entry-External-March,160-2013-14-All Students-Entry-External,March,160,2013-14,All Students,Entry,0.005494506,0.077098906,External,182,1
160-2013-14-All Students-Withdrawal-External-March,160-2013-14-All Students-Withdrawal-External,March,160,2013-14,All Students,Withdrawal,0.181318685,0.070673995,External,182,33
160-2013-14-All Students-Net Cumulative-External-March,160-2013-14-All Students-Net Cumulative-External,March,160,2013-14,All Students,Net Cumulative,-0.17582418,0.006424909,External,182,-32
160-2013-14-All Students-Entry-External-May,160-2013-14-All Students-Entry-External,May,160,2013-14,All Students,Entry,0.005494506,0.093222953,External,182,1
160-2013-14-All Students-Withdrawal-External-May,160-2013-14-All Students-Withdrawal-External,May,160,2013-14,All Students,Withdrawal,0.214285716,0.093284734,External,182,39
160-2013-14-All Students-Net Cumulative-External-May,160-2013-14-All Students-Net Cumulative-External,May,160,2013-14,All Students,Net Cumulative,-0.208791211,-6.1778E-05,External,182,-38
160-2013-14-All Students-Entry-External-November,160-2013-14-All Students-Entry-External,November,160,2013-14,All Students,Entry,0.005494506,0.033483658,External,182,1
160-2013-14-All Students-Withdrawal-External-November,160-2013-14-All Students-Withdrawal-External,November,160,2013-14,All Students,Withdrawal,0.043956045,0.018348057,External,182,8
160-2013-14-All Students-Net Cumulative-External-November,160-2013-14-All Students-Net Cumulative-External,November,160,2013-14,All Students,Net Cumulative,-0.03846154,0.015135603,External,182,-7
160-2013-14-All Students-Entry-External-October,160-2013-14-All Students-Entry-External,October,160,2013-14,All Students,Entry,0.005494506,0.02341385,External,182,1
160-2013-14-All Students-Withdrawal-External-October,160-2013-14-All Students-Withdrawal-External,October,160,2013-14,All Students,Withdrawal,0.005494506,0.007722246,External,182,1
160-2013-14-All Students-Net Cumulative-External-October,160-2013-14-All Students-Net Cumulative-External,October,160,2013-14,All Students,Net Cumulative,0,0.015691604,External,182,0
161-2013-14-All Students-Entry-External-April,161-2013-14-All Students-Entry-External,April,161,2013-14,All Students,Entry,0.055214725,0.057932824,External,815,45
161-2013-14-All Students-Withdrawal-External-April,161-2013-14-All Students-Withdrawal-External,April,161,2013-14,All Students,Withdrawal,0.073619634,0.060646582,External,815,60
161-2013-14-All Students-Net Cumulative-External-April,161-2013-14-All Students-Net Cumulative-External,April,161,2013-14,All Students,Net Cumulative,-0.018404908,-0.002713758,External,815,-15
161-2013-14-All Students-Entry-External-December,161-2013-14-All Students-Entry-External,December,161,2013-14,All Students,Entry,0.051533744,0.027753742,External,815,42
161-2013-14-All Students-Withdrawal-External-December,161-2013-14-All Students-Withdrawal-External,December,161,2013-14,All Students,Withdrawal,0.03190184,0.025511943,External,815,26
161-2013-14-All Students-Net Cumulative-External-December,161-2013-14-All Students-Net Cumulative-External,December,161,2013-14,All Students,Net Cumulative,0.019631902,0.0022418,External,815,16
161-2013-14-All Students-Entry-External-February,161-2013-14-All Students-Entry-External,February,161,2013-14,All Students,Entry,0.055214725,0.044600017,External,815,45
161-2013-14-All Students-Withdrawal-External-February,161-2013-14-All Students-Withdrawal-External,February,161,2013-14,All Students,Withdrawal,0.057668712,0.04399696,External,815,47
161-2013-14-All Students-Net Cumulative-External-February,161-2013-14-All Students-Net Cumulative-External,February,161,2013-14,All Students,Net Cumulative,-0.002453988,0.000603057,External,815,-2
161-2013-14-All Students-Entry-External-January,161-2013-14-All Students-Entry-External,January,161,2013-14,All Students,Entry,0.052760735,0.03738955,External,815,43
161-2013-14-All Students-Withdrawal-External-January,161-2013-14-All Students-Withdrawal-External,January,161,2013-14,All Students,Withdrawal,0.051533744,0.035685256,External,815,42
161-2013-14-All Students-Net Cumulative-External-January,161-2013-14-All Students-Net Cumulative-External,January,161,2013-14,All Students,Net Cumulative,0.001226994,0.001704292,External,815,1
161-2013-14-All Students-Entry-External-March,161-2013-14-All Students-Entry-External,March,161,2013-14,All Students,Entry,0.055214725,0.051207427,External,815,45
161-2013-14-All Students-Withdrawal-External-March,161-2013-14-All Students-Withdrawal-External,March,161,2013-14,All Students,Withdrawal,0.060122699,0.052347992,External,815,49
161-2013-14-All Students-Net Cumulative-External-March,161-2013-14-All Students-Net Cumulative-External,March,161,2013-14,All Students,Net Cumulative,-0.004907975,-0.001140565,External,815,-4
161-2013-14-All Students-Entry-External-May,161-2013-14-All Students-Entry-External,May,161,2013-14,All Students,Entry,0.055214725,0.063242353,External,815,45
161-2013-14-All Students-Withdrawal-External-May,161-2013-14-All Students-Withdrawal-External,May,161,2013-14,All Students,Withdrawal,0.076073617,0.066428065,External,815,62
161-2013-14-All Students-Net Cumulative-External-May,161-2013-14-All Students-Net Cumulative-External,May,161,2013-14,All Students,Net Cumulative,-0.020858895,-0.003185715,External,815,-17
161-2013-14-All Students-Entry-External-November,161-2013-14-All Students-Entry-External,November,161,2013-14,All Students,Entry,0.047852762,0.022785075,External,815,39
161-2013-14-All Students-Withdrawal-External-November,161-2013-14-All Students-Withdrawal-External,November,161,2013-14,All Students,Withdrawal,0.024539877,0.018471906,External,815,20
161-2013-14-All Students-Net Cumulative-External-November,161-2013-14-All Students-Net Cumulative-External,November,161,2013-14,All Students,Net Cumulative,0.023312883,0.00431317,External,815,19
161-2013-14-All Students-Entry-External-October,161-2013-14-All Students-Entry-External,October,161,2013-14,All Students,Entry,0.047852762,0.015509059,External,815,39
161-2013-14-All Students-Withdrawal-External-October,161-2013-14-All Students-Withdrawal-External,October,161,2013-14,All Students,Withdrawal,0.019631902,0.010291303,External,815,16
161-2013-14-All Students-Net Cumulative-External-October,161-2013-14-All Students-Net Cumulative-External,October,161,2013-14,All Students,Net Cumulative,0.028220858,0.005217756,External,815,23
163-2013-14-All Students-Entry-External-April,163-2013-14-All Students-Entry-External,April,163,2013-14,All Students,Entry,0.060301509,0.086674489,External,199,12
163-2013-14-All Students-Withdrawal-External-April,163-2013-14-All Students-Withdrawal-External,April,163,2013-14,All Students,Withdrawal,0.160804018,0.082102925,External,199,32
163-2013-14-All Students-Net Cumulative-External-April,163-2013-14-All Students-Net Cumulative-External,April,163,2013-14,All Students,Net Cumulative,-0.100502513,0.00457157,External,199,-20
163-2013-14-All Students-Entry-External-December,163-2013-14-All Students-Entry-External,December,163,2013-14,All Students,Entry,0.040201005,0.040897015,External,199,8
163-2013-14-All Students-Withdrawal-External-December,163-2013-14-All Students-Withdrawal-External,December,163,2013-14,All Students,Withdrawal,0.085427135,0.02705875,External,199,17
163-2013-14-All Students-Net Cumulative-External-December,163-2013-14-All Students-Net Cumulative-External,December,163,2013-14,All Students,Net Cumulative,-0.045226131,0.013838265,External,199,-9
163-2013-14-All Students-Entry-External-February,163-2013-14-All Students-Entry-External,February,163,2013-14,All Students,Entry,0.060301509,0.067893989,External,199,12
163-2013-14-All Students-Withdrawal-External-February,163-2013-14-All Students-Withdrawal-External,February,163,2013-14,All Students,Withdrawal,0.120603018,0.05751529,External,199,24
163-2013-14-All Students-Net Cumulative-External-February,163-2013-14-All Students-Net Cumulative-External,February,163,2013-14,All Students,Net Cumulative,-0.060301509,0.010378699,External,199,-12
163-2013-14-All Students-Entry-External-January,163-2013-14-All Students-Entry-External,January,163,2013-14,All Students,Entry,0.045226131,0.055847283,External,199,9
163-2013-14-All Students-Withdrawal-External-January,163-2013-14-All Students-Withdrawal-External,January,163,2013-14,All Students,Withdrawal,0.120603018,0.044294804,External,199,24
163-2013-14-All Students-Net Cumulative-External-January,163-2013-14-All Students-Net Cumulative-External,January,163,2013-14,All Students,Net Cumulative,-0.075376883,0.01155248,External,199,-15
163-2013-14-All Students-Entry-External-March,163-2013-14-All Students-Entry-External,March,163,2013-14,All Students,Entry,0.060301509,0.077098906,External,199,12
163-2013-14-All Students-Withdrawal-External-March,163-2013-14-All Students-Withdrawal-External,March,163,2013-14,All Students,Withdrawal,0.145728648,0.070673995,External,199,29
163-2013-14-All Students-Net Cumulative-External-March,163-2013-14-All Students-Net Cumulative-External,March,163,2013-14,All Students,Net Cumulative,-0.085427135,0.006424909,External,199,-17
163-2013-14-All Students-Entry-External-May,163-2013-14-All Students-Entry-External,May,163,2013-14,All Students,Entry,0.060301509,0.093222953,External,199,12
163-2013-14-All Students-Withdrawal-External-May,163-2013-14-All Students-Withdrawal-External,May,163,2013-14,All Students,Withdrawal,0.371859282,0.093284734,External,199,74
163-2013-14-All Students-Net Cumulative-External-May,163-2013-14-All Students-Net Cumulative-External,May,163,2013-14,All Students,Net Cumulative,-0.3115578,-6.1778E-05,External,199,-62
163-2013-14-All Students-Entry-External-November,163-2013-14-All Students-Entry-External,November,163,2013-14,All Students,Entry,0.025125628,0.033483658,External,199,5
163-2013-14-All Students-Withdrawal-External-November,163-2013-14-All Students-Withdrawal-External,November,163,2013-14,All Students,Withdrawal,0.060301509,0.018348057,External,199,12
163-2013-14-All Students-Net Cumulative-External-November,163-2013-14-All Students-Net Cumulative-External,November,163,2013-14,All Students,Net Cumulative,-0.035175879,0.015135603,External,199,-7
163-2013-14-All Students-Entry-External-October,163-2013-14-All Students-Entry-External,October,163,2013-14,All Students,Entry,0.015075377,0.02341385,External,199,3
163-2013-14-All Students-Withdrawal-External-October,163-2013-14-All Students-Withdrawal-External,October,163,2013-14,All Students,Withdrawal,0.040201005,0.007722246,External,199,8
163-2013-14-All Students-Net Cumulative-External-October,163-2013-14-All Students-Net Cumulative-External,October,163,2013-14,All Students,Net Cumulative,-0.025125628,0.015691604,External,199,-5
165-2013-14-All Students-Entry-External-April,165-2013-14-All Students-Entry-External,April,165,2013-14,All Students,Entry,0.022108844,0.050190546,External,588,13
165-2013-14-All Students-Withdrawal-External-April,165-2013-14-All Students-Withdrawal-External,April,165,2013-14,All Students,Withdrawal,0.035714287,0.054866787,External,588,21
165-2013-14-All Students-Net Cumulative-External-April,165-2013-14-All Students-Net Cumulative-External,April,165,2013-14,All Students,Net Cumulative,-0.013605442,-0.004676241,External,588,-8
165-2013-14-All Students-Entry-External-December,165-2013-14-All Students-Entry-External,December,165,2013-14,All Students,Entry,0.008503402,0.024213277,External,588,5
165-2013-14-All Students-Withdrawal-External-December,165-2013-14-All Students-Withdrawal-External,December,165,2013-14,All Students,Withdrawal,0.015306123,0.025095273,External,588,9
165-2013-14-All Students-Net Cumulative-External-December,165-2013-14-All Students-Net Cumulative-External,December,165,2013-14,All Students,Net Cumulative,-0.006802721,-0.000881996,External,588,-4
165-2013-14-All Students-Entry-External-February,165-2013-14-All Students-Entry-External,February,165,2013-14,All Students,Entry,0.015306123,0.038325205,External,588,9
165-2013-14-All Students-Withdrawal-External-February,165-2013-14-All Students-Withdrawal-External,February,165,2013-14,All Students,Withdrawal,0.020408163,0.040355463,External,588,12
165-2013-14-All Students-Net Cumulative-External-February,165-2013-14-All Students-Net Cumulative-External,February,165,2013-14,All Students,Net Cumulative,-0.005102041,-0.002030254,External,588,-3
165-2013-14-All Students-Entry-External-January,165-2013-14-All Students-Entry-External,January,165,2013-14,All Students,Entry,0.011904762,0.032417499,External,588,7
165-2013-14-All Students-Withdrawal-External-January,165-2013-14-All Students-Withdrawal-External,January,165,2013-14,All Students,Withdrawal,0.018707482,0.033366062,External,588,11
165-2013-14-All Students-Net Cumulative-External-January,165-2013-14-All Students-Net Cumulative-External,January,165,2013-14,All Students,Net Cumulative,-0.006802721,-0.000948561,External,588,-4
165-2013-14-All Students-Entry-External-March,165-2013-14-All Students-Entry-External,March,165,2013-14,All Students,Entry,0.022108844,0.044232912,External,588,13
165-2013-14-All Students-Withdrawal-External-March,165-2013-14-All Students-Withdrawal-External,March,165,2013-14,All Students,Withdrawal,0.023809524,0.047411427,External,588,14
165-2013-14-All Students-Net Cumulative-External-March,165-2013-14-All Students-Net Cumulative-External,March,165,2013-14,All Students,Net Cumulative,-0.00170068,-0.003178513,External,588,-1
165-2013-14-All Students-Entry-External-May,165-2013-14-All Students-Entry-External,May,165,2013-14,All Students,Entry,0.022108844,0.05516633,External,588,13
165-2013-14-All Students-Withdrawal-External-May,165-2013-14-All Students-Withdrawal-External,May,165,2013-14,All Students,Withdrawal,0.039115645,0.059193555,External,588,23
165-2013-14-All Students-Net Cumulative-External-May,165-2013-14-All Students-Net Cumulative-External,May,165,2013-14,All Students,Net Cumulative,-0.017006803,-0.004027226,External,588,-10
165-2013-14-All Students-Entry-External-November,165-2013-14-All Students-Entry-External,November,165,2013-14,All Students,Entry,0.008503402,0.019903148,External,588,5
165-2013-14-All Students-Withdrawal-External-November,165-2013-14-All Students-Withdrawal-External,November,165,2013-14,All Students,Withdrawal,0.015306123,0.018505268,External,588,9
