Key,School_Code,School_Year,Student_Group,Metric,SchoolScore,AverageScore,Month,ReportType,NSize,count
125-2013-14-All Students-Withdrawal-External,125,2013-14,All Students,Withdrawal,0.013661202,0.056943443,April,External,366,5
125-2013-14-All Students-Net Cumulative-External,125,2013-14,All Students,Net Cumulative,-0.013661202,-0.002437268,April,External,366,-5
125-2013-14-All Students-Entry-External,125,2013-14,All Students,Entry,0,0.024538858,December,External,366,0
125-2013-14-All Students-Withdrawal-External,125,2013-14,All Students,Withdrawal,0.00273224,0.021326095,December,External,366,1
125-2013-14-All Students-Net Cumulative-External,125,2013-14,All Students,Net Cumulative,-0.00273224,0.003212763,December,External,366,-1
125-2013-14-All Students-Entry-External,125,2013-14,All Students,Entry,0,0.040214922,February,External,366,0
125-2013-14-All Students-Withdrawal-External,125,2013-14,All Students,Withdrawal,0.00273224,0.036448237,February,External,366,1
125-2013-14-All Students-Net Cumulative-External,125,2013-14,All Students,Net Cumulative,-0.00273224,0.003766687,February,External,366,-1
125-2013-14-All Students-Entry-External,125,2013-14,All Students,Entry,0,0.032570764,January,External,366,0
125-2013-14-All Students-Withdrawal-External,125,2013-14,All Students,Withdrawal,0.00273224,0.029025646,January,External,366,1
125-2013-14-All Students-Net Cumulative-External,125,2013-14,All Students,Net Cumulative,-0.00273224,0.003545117,January,External,366,-1
125-2013-14-All Students-Entry-External,125,2013-14,All Students,Entry,0,0.048523791,March,External,366,0
125-2013-14-All Students-Withdrawal-External,125,2013-14,All Students,Withdrawal,0.005464481,0.04470171,March,External,366,2
125-2013-14-All Students-Net Cumulative-External,125,2013-14,All Students,Net Cumulative,-0.005464481,0.003822079,March,External,366,-2
125-2013-14-All Students-Entry-External,125,2013-14,All Students,Entry,0,0.060156208,May,External,366,0
125-2013-14-All Students-Withdrawal-External,125,2013-14,All Students,Withdrawal,0.013661202,0.062593475,May,External,366,5
125-2013-14-All Students-Net Cumulative-External,125,2013-14,All Students,Net Cumulative,-0.013661202,-0.002437268,May,External,366,-5
125-2013-14-All Students-Entry-External,125,2013-14,All Students,Entry,0,0.019442752,November,External,366,0
125-2013-14-All Students-Withdrawal-External,125,2013-14,All Students,Withdrawal,0.00273224,0.015620672,November,External,366,1
125-2013-14-All Students-Net Cumulative-External,125,2013-14,All Students,Net Cumulative,-0.00273224,0.003822079,November,External,366,-1
126-2013-14-All Students-Entry-External,126,2013-14,All Students,Entry,0.215481177,0.118976958,April,External,478,103
126-2013-14-All Students-Withdrawal-External,126,2013-14,All Students,Withdrawal,0.474895388,0.17163977,April,External,478,227
126-2013-14-All Students-Net Cumulative-External,126,2013-14,All Students,Net Cumulative,-0.259414226,-0.052662816,April,External,478,-124
126-2013-14-All Students-Entry-External,126,2013-14,All Students,Entry,0.050209206,0.046295796,December,External,478,24
126-2013-14-All Students-Withdrawal-External,126,2013-14,All Students,Withdrawal,0.23221758,0.077159658,December,External,478,111
126-2013-14-All Students-Net Cumulative-External,126,2013-14,All Students,Net Cumulative,-0.182008371,-0.030863864,December,External,478,-87
126-2013-14-All Students-Entry-External,126,2013-14,All Students,Entry,0.138075307,0.096584469,February,External,478,66
126-2013-14-All Students-Withdrawal-External,126,2013-14,All Students,Withdrawal,0.328451872,0.121243186,February,External,478,157
126-2013-14-All Students-Net Cumulative-External,126,2013-14,All Students,Net Cumulative,-0.190376565,-0.024658717,February,External,478,-91
126-2013-14-All Students-Entry-External,126,2013-14,All Students,Entry,0.11297071,0.068310581,January,External,478,54
126-2013-14-All Students-Withdrawal-External,126,2013-14,All Students,Withdrawal,0.278242677,0.099606112,January,External,478,133
126-2013-14-All Students-Net Cumulative-External,126,2013-14,All Students,Net Cumulative,-0.165271968,-0.031295527,January,External,478,-79
126-2013-14-All Students-Entry-External,126,2013-14,All Students,Entry,0.188284516,0.110127881,March,External,478,90
126-2013-14-All Students-Withdrawal-External,126,2013-14,All Students,Withdrawal,0.38075313,0.15005666,March,External,478,182
126-2013-14-All Students-Net Cumulative-External,126,2013-14,All Students,Net Cumulative,-0.192468613,-0.039928775,March,External,478,-92
126-2013-14-All Students-Entry-External,126,2013-14,All Students,Entry,0.248953968,0.128149793,May,External,478,119
126-2013-14-All Students-Withdrawal-External,126,2013-14,All Students,Withdrawal,0.539748967,0.187071711,May,External,478,258
126-2013-14-All Students-Net Cumulative-External,126,2013-14,All Students,Net Cumulative,-0.290794969,-0.058921922,May,External,478,-139
126-2013-14-All Students-Entry-External,126,2013-14,All Students,Entry,0.031380754,0.039227325,November,External,478,15
126-2013-14-All Students-Withdrawal-External,126,2013-14,All Students,Withdrawal,0.173640162,0.057626937,November,External,478,83
126-2013-14-All Students-Net Cumulative-External,126,2013-14,All Students,Net Cumulative,-0.142259419,-0.018399611,November,External,478,-68
